Sr_No,Date,Startup,Industry_Vertical,SubVertical,City,Investors,Investment_Type,Amount,Remarks
2411,2015-09-12,CredR,Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,15000000.0,Series A
2413,2015-09-14,CanvasFlip,Mobile App Testing Platform,,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000.0,
2414,2015-09-14,Shadowfax,Hyperlocal Delivery Services,,Gurgaon,Eight Roads Ventures,Private Equity,9000000.0,Series A
2415,2015-09-14,UE Life Sciences,Early Cancer Detection Solutions,,Us/India,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000.0,Series A
2416,2015-09-14,Ola Cabs,Cab Rental Mobile App,,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000.0,Late Stage
2417,2015-09-15,Coverfox,Online Insurance Distribution Platform,,Mumbai,Cataraman Ventures,Private Equity,2000000.0,Part of $12M Series B funding
2418,2015-09-15,MoEngage,Mobile Marketing Automation Platform,,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000.0,Series A
2420,2015-09-15,Tea Trails,Chain Of Tea Caf\\Xc3\\Xa9\\Xe2\\X80\\X99S,,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,1000000.0,
2421,2015-09-15,Room on Call,Branded Budget Hotel Marketplace,,Noida,Payal Syal,Seed Funding,300000.0,
2423,2015-09-16,ChaiPoint,Food Subscription Platform,,Bangalore,Eight Roads Ventures,Private Equity,10000000.0,Series A
2424,2015-09-16,WedmeGood.com,Wedding Planning Platform,,Gurgaon,Indian Angel Network,Seed Funding,410000.0,
2425,2015-09-16,XSTOK,B2B Mobile Auction Marketplace,,Mumbai,Oliphans Capital,Seed Funding,450000.0,
2428,2015-09-17,YepMe,Private Label Fashion Etailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000.0,Series D
2429,2015-09-17,Bueno,Online Food Ordering & Delivery,,Gurgaon,High Networth Individuals (No details),Seed Funding,600000.0,
2430,2015-09-18,Plabro,Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000.0,
2431,2015-09-18,CureJoy,Online Health & Wellness Platform,,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000.0,Pre-Series A
2432,2015-09-18,Briston Technomach,Internet Of Things Platform,,New Delhi,Undisclosed,Seed Funding,150000.0,
2433,2015-09-18,LabStreet,Diagnostic Labs Aggregator Platform,,Gurgaon,Multiple investors,Seed Funding,150000.0,
2435,2015-09-21,Portea Medical,Home Medical Care Services,,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,37500000.0,
2436,2015-09-21,Neotrade Analytics,Real-Time Stock Data Platform,,Bangalore,Rainmatter,Seed Funding,235000.0,
2438,2015-09-21,LafaLafa,Coupons And Cashback Aggregator App,,Mumbai,500 Startups,Seed Funding,125000.0,thru Accelerator
2441,2015-09-22,Bestdealfinance,Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000.0,Series A
2444,2015-09-22,Virtual Logic,"Virtual Reality, 3D Simulation And Stereoscopic Products",,Bangalore,Swarnim Multiventures,Private Equity,800000.0,Pre-Series A
2445,2015-09-22,Furdo,Online Interior Designing Platform,,Bangalore,Bhavdeep Reddy,Seed Funding,400000.0,
2446,2015-09-22,LogiNext,End-To-End Logistics Platform,,Mumbai,Paytm,Private Equity,10000000.0,Series A
2447,2015-09-22,Korra,Private Label Apparel Sales,,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000.0,
2450,2015-09-23,SilverPush,Cross-Device Retargeting Platform,,Gurgaon / Sfo,M&S Partners,Private Equity,1200000.0,Series A
2451,2015-09-23,Juggernaut,Digital & Physical Publishing Platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000.0,Series A
2452,2015-09-23,InnerChef,Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,1750000.0,pre-Series A
2453,2015-09-24,Quintype,Data Driven Publishing Platform,,Bangalore,Raghav Bahl,Private Equity,3300000.0,
2454,2015-09-24,Capabiliti,Employee Onboarding & Orientation Platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,400000.0,
2455,2015-09-24,Fourth Partner Energy,Solar Power Solutions Company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,2000000.0,Series A
2456,2015-09-24,Licious,Online Meat Ordering Platform,,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,1000000.0,
2459,2015-09-28,Ola Cabs,Cab Booking App Platform,,Bangalore,Didi Kuaidi,Private Equity,30000000.0,late Stage (part of $500M funding rnd)
2460,2015-09-29,Paytm,E-Commerce & M-Commerce Platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,680000000.0,Late Stage (Alibaba @ 40% equity)
2461,2015-09-29,Inmobi,Mobile Advertising Platform,,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,100000000.0,Late Stage
2462,2015-09-29,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,36000000.0,Series B
2465,2015-09-29,Zakoopi,Fashion Discovery Platform,,New Delhi,Uniqorn Ventures,Seed Funding,350000.0,
2467,2015-09-30,Infoworks,Big Data Management Platform,,Bangalore / Usa,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,5000000.0,
2468,2015-09-30,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,1000000.0,
2470,2015-09-30,Eywa Media,Digital Signal Processing Platform,,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,1000000.0,
2471,2015-08-01,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000.0,Late Stage Round 7th (More details)
2472,2015-08-01,Ressy,Restaurant Discount App,,Pune,Mohandas Pai & others,Seed Funding,400000.0,
